Date,Year,TripID,Month,SiteID,TP,pH,EC,DOMgL,DOPctSat,rain24,rainsum72
6/13/2019,2019,6/13/2019-1-CWMN,June,HAB002,0.0486,7.58,63,6.96,77.1,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,NER075,0.066888,7.51,288,7.63,80.5,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,PUB022,0.103164,7.09,246,9.01,93.6,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,MLB024,0.049188,7.14,199,8.71,86.3,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,HAB006,0.04818,7.44,249,,,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,HAB010,0.047496,7.09,422,7.25,77.8,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,GEB020,0.07014,7.47,197,9.07,88.1,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,NER179,,7.29,,9.5,100,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,MOB001,0.09492,7.09,131,6.6,74,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,SHB021,0.052692,7.11,231,7.98,84.8,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,PEB008,0.08514,7.19,84,6.69,67.9,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,NER150,0.069624,7.34,373,5.52,60.8,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,THB033,0.065616,7.48,183,10.11,97.2,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,NER125,0.03114,7.35,399,4,44,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,NER080,0.063048,7.34,201,8.26,89.7,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,BMB026,0.057588,7.39,156,7.17,74,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,EAB010,0.04686,7.42,301,9.16,98.5,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,MEB001,0.097464,7.14,1450,9.3,92.6,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,PQB040,0.032472,7.38,145,7.27,80.5,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,MPB088,0.08112,7.58,,8.48,90.9,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,BEB025,0.058572,7.25,131,7.43,74.3,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,MPB037,0.035916,7.27,110,8.31,88.1,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,POB040,0.101628,7.01,622,4.59,46.7,0,0.42
6/13/2019,2019,6/13/2019-1-CWMN,June,PQB036,0.06036,7.07,249,1.88,19.7,0,0.42
7/11/2019,2019,7/11/2019-1-CWMN,July,POB040,0.09352,6.74,110,4.03,44.9,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER125,0.08326,6.95,269,3.64,43,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,EAB010,0.05326,7.21,160,7.23,87.5,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,PQB036,0.091972,6.61,110,1.04,11.7,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,PQB040,0.048232,7.09,262,6.13,73,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,PUB022,0.100732,7.07,839,7.87,88.2,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,PEB008,0.080836,7.23,20,6.38,70.5,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,BMB026,0.054244,7.02,282,5.23,60.2,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MPB037,0.038692,6.98,10,7.9,94.9,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,BEB025,0.071176,6.9,110,6.59,72.2,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,THB033,0.069952,7.33,201,8.98,93,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER080,0.061312,7.12,388,6.3,76.2,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,UNB016,0.060964,7.03,573,9.3,94,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER185,0.091696,6.98,384,6.5,78,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER179,0.075964,7.18,132,6.7,81,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,PTB035,0.102616,7.2,379,5.3,60,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,PTB028,0.09244,7.27,31,4.7,54.4,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,UNB014,0.056572,6.82,2140,8.7,87.9,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,PTB047,0.073984,6.89,336,7.1,79,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,UNB002,0.15658,6.63,487,4.8,51,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER200,0.067468,7.32,211,7,84,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER150,0.06994,7,156,3.62,42.9,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,SHB021,0.045376,7.23,189,6.2,73.1,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MLB024,0.063064,7.54,156,7.86,84.5,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,HAB006,0.057388,7.1,146,,,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,HAB010,0.067576,6.93,292,6.31,73.1,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,HAB002,0.0649,7.03,30,5.69,69.4,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MEB001,0.081088,6.74,906,6.7,71.5,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER075,0.077572,7,31,6.85,82.4,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MOB001,0.088816,6.96,148,6,74,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,WIP003,0.027712,7,41,,,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,WIP002,0.021292,7.04,10,,,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER002,1.024168,6.71,20,0.82,11,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MIB030,0.142216,6.58,10,2.58,31.1,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,SMB001,0.064228,6.65,30,1.35,17.4,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,NER040,0.101356,6.95,134,2.46,30.8,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,SPB016,0.096136,6.96,189,4.91,67.1,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MPB088,0.126664,7.11,86,7.45,87.6,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MMB106,0.075832,7.07,10,4.18,57.1,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,MOB032,0.086488,7.21,246,6.6,81,0,0
7/11/2019,2019,7/11/2019-1-CWMN,July,GEB020,,,,7.66,82.7,0,0
8/8/2019,2019,8/8/2019-1-CWMN,August,MOB001,0.082044,7.28,3870,6.4,75,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,THB033,0.13248,7.57,24200,7.53,83.6,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,MPB088,0.035772,7.27,882,6.45,75.3,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,EAB010,0.049056,7.2,4880,8.35,98.6,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,POB040,0.180792,6.96,1850,3.7,42,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,PEB008,0.069288,7.04,275,6.6,75,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,PQB036,0.12348,6.7,11200,1.3,14,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,BEB025,0.08016,6.99,7270,5.9,66,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,MPB037,0.03642,7.41,148,5.69,68.1,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,BMB026,0.05576,7.11,4110,4.9,56.7,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,PQB040,0.111732,7.41,5170,5.8,59.1,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,HAB010,0.07062,7.33,13000,8.51,97.5,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,SHB021,0.087924,6.94,6490,6.84,79.7,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER150,0.077604,7.71,9210,5.5,64,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER080,0.084852,6.79,10500,8.09,94.1,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER125,0.108456,7.08,14100,5.5,64,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,GEB020,0.121032,7.35,24200,7.73,85.8,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,HAB002,0.086136,7.18,24200,7.83,89.1,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,HAB006,0.062388,7.17,14100,,,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,PUB022,0.137244,7.53,12000,9.27,103.9,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,MEB001,0.145464,6.81,9210,8.69,96.2,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER075,0.070548,7.3,5170,7.3,84,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,MLB024,0.13434,7.05,14100,7.53,84.4,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,UNB002,0.121692,6.99,24200,4.7,52,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,UNB014,0.132132,7.4,11200,7.3,82,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER185,0.106944,7.36,6130,7.1,83,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER200,0.096792,7.51,4610,8,95,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,PTB028,0.065844,7.19,1940,6.3,74,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,MOB032,0.097644,7.28,13000,7.9,92,0.62,0.62
