Date,Month,Year,SiteID,EC,TP,pH,DOMgL,DOPctSat,DOTemp
7/9/2020,July,2020,BMB026,110,0.0718,7.03,5.79,67.1,22.7
7/9/2020,July,2020,EAB010,122,0.0794,,7.48,90.1,24.3
7/9/2020,July,2020,GEB020,246,0.0945,,8.24,88.1,18.7
7/9/2020,July,2020,HAB002,52,0.0558,,6.92,82.2,24.2
7/9/2020,July,2020,HAB006,1210,0.341,,,,
7/9/2020,July,2020,HAB010,959,0.0727,6.58,7.18,84.1,23.3
7/9/2020,July,2020,MEB001,2850,0.202,,8.24,89.8,17.9
7/9/2020,July,2020,MIB030,,,,5.76,63.5,20.3
7/9/2020,July,2020,MLB024,108,0.0991,,7.61,82.3,19.3
7/9/2020,July,2020,MMB106,20,0.14,,5.9,49,25
7/9/2020,July,2020,MOB001,97,0.106,6.13,6.04,73,25
7/9/2020,July,2020,MOB032,175,0.125,,6.99,84.4,24.9
7/9/2020,July,2020,MPB037,20,0.0478,7.41,6.7,79.5,23.9
7/9/2020,July,2020,MPB088,110,0.0686,7.32,6.98,80,22.2
7/9/2020,July,2020,NER002,63,0.365,,1.39,65.5,25.4
7/9/2020,July,2020,NER040,218,0.185,,3.65,41.5,21.7
7/9/2020,July,2020,NER075,85,0.118,,6.4,76.5,23.7
7/9/2020,July,2020,NER080,265,0.0964,,6.98,83.6,23.9
7/9/2020,July,2020,NER125,201,0.143,7.07,4.16,49.2,23.6
7/9/2020,July,2020,NER150,201,0.117,6.33,7.2,76,21
7/9/2020,July,2020,NER179,98,0.114,6.45,6.84,81.1,23.7
7/9/2020,July,2020,NER185,148,0.118,7.08,6.43,75.8,23.6
7/9/2020,July,2020,NER200,96,0.118,6.44,8.05,94.8,23.5
7/9/2020,July,2020,PEB008,63,0.103,7.27,6.49,75,22.3
7/9/2020,July,2020,POB040,187,0.134,7.17,6.07,69.2,21.8
7/9/2020,July,2020,PQB036,262,0.108,6.53,1.09,12.6,22.9
7/9/2020,July,2020,PQB040,231,0.0888,7.11,6.49,77.7,24.4
7/9/2020,July,2020,PTB028,41,0.0979,7.05,4.6,52.4,21.8
7/9/2020,July,2020,PTB035,504,0.102,6.51,4.6,52.4,21.8
7/9/2020,July,2020,PTB047,345,0.102,6.45,7.05,79.3,21.2
7/9/2020,July,2020,PUB022,318,0.119,6.51,8.18,93.5,22
7/9/2020,July,2020,SHB021,20,0.0629,,6.98,81,22.7
7/9/2020,July,2020,SMB001,171,0.0707,,6.08,70.6,22.5
7/9/2020,July,2020,SPB016,97,0.15,,6.76,82.6,25.6
7/9/2020,July,2020,THB033,301,0.077,6.97,8.63,91.2,17.8
7/9/2020,July,2020,UNB002,691,0.338,,4.09,44.7,19.7
7/9/2020,July,2020,UNB014,448,0.0794,7.24,8.77,87.7,15.4
7/9/2020,July,2020,UNB016,432,0.104,,9.01,91,15.9
7/9/2020,July,2020,WIP002,10,0.0443,,,,
7/9/2020,July,2020,WIP003,10,0.042,,,,
8/13/2020,August,2020,BEB025,272,0.0981,7.08,6.45,74.9,22.8
8/13/2020,August,2020,BMB026,175,0.2,6.94,3.61,42.1,23.1
8/13/2020,August,2020,EAB010,189,0.0369,7.37,5.48,69.9,26.8
8/13/2020,August,2020,GEB020,1500,0.0556,7.28,5.74,66.5,22.5
8/13/2020,August,2020,HAB002,52,0.0397,7.22,4.89,61.2,26.9
8/13/2020,August,2020,HAB006,,,,,,
8/13/2020,August,2020,HAB010,520,0.0631,7.02,4.24,50.6,24.2
8/13/2020,August,2020,MEB001,24200,0.374,7.02,1.93,21.5,20.5
8/13/2020,August,2020,MIB030,84,0.197,6.58,3.33,38.6,22.7
8/13/2020,August,2020,MLB024,83,0.122,7.25,7.06,80.5,21.2
8/13/2020,August,2020,MMB106,10,0.143,7.28,4.42,56.7,28.1
8/13/2020,August,2020,MOB001,108,0.0504,7.15,6.21,79.6,28.2
8/13/2020,August,2020,MOB032,86,0.0537,7.28,5.43,68.9,27.6
8/13/2020,August,2020,MPB037,31,0.0284,7.32,6.33,79.4,26.9
8/13/2020,August,2020,MPB088,74,0.04,6.92,5.68,67.1,23.7
8/13/2020,August,2020,NER002,10,0.0369,7.38,3.02,38.5,27.6
8/13/2020,August,2020,NER040,435,0.11,7.15,4.91,58.1,23.8
8/13/2020,August,2020,NER075,63,0.0284,7.72,5.75,73.8,28.2
8/13/2020,August,2020,NER080,388,0.0335,7.32,,,
8/13/2020,August,2020,NER125,96,0.06,6.93,0.73,9,25.6
8/13/2020,August,2020,NER150,410,0.0706,6.93,4.14,47.9,25.3
8/13/2020,August,2020,NER179,374,0.0789,7.17,5.9,72,25.3
8/13/2020,August,2020,NER185,377,0.0377,7.07,,,
8/13/2020,August,2020,NER200,109,0.0383,7.46,4.63,54.9,23.9
8/13/2020,August,2020,PEB008,309,0.0816,6.61,6.5,67.1,16.9
8/13/2020,August,2020,POB040,246,0.148,7.21,4.54,51.8,22
8/13/2020,August,2020,PQB036,,,,,,
8/13/2020,August,2020,PQB040,2910,0.058,6.57,4.92,57.5,23.2
8/13/2020,August,2020,PTB028,171,0.136,6.75,2.95,34.9,23.9
8/13/2020,August,2020,PTB035,504,0.125,7.06,4.98,55.7,20.9
8/13/2020,August,2020,PTB047,712,0.0665,7.1,7.18,81.1,21
8/13/2020,August,2020,PUB022,19900,0.0945,7.01,6.31,70.7,20.9
8/13/2020,August,2020,SHB021,97,0.0567,7.41,5.97,72.5,25.2
8/13/2020,August,2020,SMB001,197,0.0773,6.53,1.21,14.7,25.1
8/13/2020,August,2020,SPB016,193,0.126,7.27,5,62.3,27.5
8/13/2020,August,2020,THB033,288,0.0708,7.27,7.58,83.2,19.9
8/13/2020,August,2020,UNB002,,,,,,
8/13/2020,August,2020,UNB014,601,0.0629,6.93,8.57,89.1,17.2
8/13/2020,August,2020,UNB016,727,0.0648,6.66,8.71,91.9,17.9
8/13/2020,August,2020,WIP002,,,,,,
8/13/2020,August,2020,WIP003,41,0.142,7.56,,,
9/10/2020,September,2020,BEB025,120,0.0615,6.92,6.49,71.8,20.2
9/10/2020,September,2020,BMB026,148,0.0633,6.99,5.31,59.5,20.9
9/10/2020,September,2020,EAB010,52,0.0364,7.37,7.42,86.2,23.3
9/10/2020,September,2020,GEB020,677,0.0477,7.05,7.15,78.3,19.7
9/10/2020,September,2020,HAB002,41,0.0301,7.1,5.54,64.4,22.9
9/10/2020,September,2020,HAB006,307,0.0321,7.1,,,
9/10/2020,September,2020,HAB010,1080,0.0352,6.98,5.66,64.9,21.9
9/10/2020,September,2020,MEB001,17300,0.31,7.21,2.6,28.3,19.9
9/10/2020,September,2020,MIB030,31,0.106,6.52,4.2,45.6,19.3
9/10/2020,September,2020,MLB024,364,0.0553,6.9,8.09,86.7,18.8
9/10/2020,September,2020,MMB106,10,,7.31,4,47.7,24.3
9/10/2020,September,2020,MOB001,20,0.0366,7.3,7.4,86.4,23.5
9/10/2020,September,2020,MOB032,31,0.0318,7.32,7.02,82.7,23.4
9/10/2020,September,2020,MPB037,110,0.019,7.26,6.86,80.5,23.4
9/10/2020,September,2020,MPB088,20,0.0347,7.18,6.7,74.5,20.6
9/10/2020,September,2020,NER002,10,0.304,7.49,0.44,5.1,23
9/10/2020,September,2020,NER040,313,0.0668,7.35,4.66,52.4,21.2
9/10/2020,September,2020,NER075,10,0.0384,7.33,5.08,60,23.8
9/10/2020,September,2020,NER080,185,0.0324,6.76,6.47,7.32,22.4
9/10/2020,September,2020,NER125,74,0.0508,6.88,3.58,40.7,21.8
9/10/2020,September,2020,NER150,135,0.0496,7.01,5.85,65.9,21.2
9/10/2020,September,2020,NER179,3650,0.0393,7.2,7.13,80.8,21.9
9/10/2020,September,2020,NER185,3650,0.0418,7.25,6.92,79.1,21.8
9/10/2020,September,2020,NER200,776,0.0404,7.58,8.1,91,22.1
9/10/2020,September,2020,PEB008,780,0.061,6.46,6.93,70.2,16
9/10/2020,September,2020,POB040,160,0.0722,6.84,5.85,64,19.6
9/10/2020,September,2020,PQB036,345,0.188,6.46,1.13,12.6,20.4
9/10/2020,September,2020,PQB040,512,0.0374,7.28,6.25,69.8,20.8
9/10/2020,September,2020,PTB028,382,0.066,6.7,4.2,47,21.3
9/10/2020,September,2020,PTB035,677,0.431,6.84,5.6,60,19.5
9/10/2020,September,2020,PTB047,480,0.0572,7.12,7.82,84.2,18.9
9/10/2020,September,2020,PUB022,546,0.0455,6.83,8.88,96.4,18.9
9/10/2020,September,2020,SHB021,185,0.0308,6.97,7.12,80.9,21.7
9/10/2020,September,2020,SMB001,31,0.0572,6.49,1.69,19.2,21.8
9/10/2020,September,2020,SPB016,282,0.0573,7.38,5.21,61.8,23.9
9/10/2020,September,2020,THB033,749,0.0591,7.37,8.61,91.1,17.9
9/10/2020,September,2020,UNB002,2760,0.207,7.07,,,
9/10/2020,September,2020,UNB014,313,0.0528,6.94,8.2,83,17
9/10/2020,September,2020,UNB016,199,0.109,8.63,8.2,83,17
9/10/2020,September,2020,WIP002,10,,7.71,,,
9/10/2020,September,2020,WIP003,10,,7.67,,,
10/8/2020,October,2020,BEB025,143,0.105,6.72,7.93,74.5,12.6
10/8/2020,October,2020,BMB026,160,0.0636,6.33,8.05,77.2,13.5
10/8/2020,October,2020,EAB010,63,0.0431,6.97,9.46,93.9,15
10/8/2020,October,2020,GEB020,1140,0.0339,7.81,7.58,72.1,13.1
10/8/2020,October,2020,HAB002,305,0.347,7.79,7.72,77.3,15.5
10/8/2020,October,2020,HAB006,541,0.0195,6.27,,,
10/8/2020,October,2020,HAB010,121,0.0187,7.79,8.7,84.8,14.1
